============ zoos ======================
Abilene Zoological Gardens                                          Abilene, TX
Mansfield Metropolitan Housing Authority                                                                
Stark Metropolitan Housing Authority                                                                
Lake Metropolitan Housing Authority                                                                
Columbiana Metropolitan Housing Authority                                                                
Medina Metropolitan Housing Authority                                                                
Erie Metropolitan Housing Authority                                                                
Ashtabula Metropolitan Housing Authority                                                                
Huron Metropolitan Housing Authority                                                                
Portage Metropolitan Housing Authority                                                                
Wayne Metropolitan Housing Authority                                                                
Crawford Metropolitan Housing Authority                                                                
Geauga Metropolitan Housing Authority                                                                
Sandusky Metropolitan Housing Authority                                                                
Tuscarawas Metropolitan Housing Authority                                                                
Harrison Metropolitan Housing Authority                                                                
Henry Metropolitan Housing Authority                                                                
Parma Public Housing Agency                                                                
Williams Metropolitan Housing Authority                                                                
Seneca Metropolitan Housing Authority                                                                
Hancock Metropolitan Housing Authority                                                                
Bowling Green Housing Agency                                                                
New Avenues To Independence Inc.                                                                
Emerald Development And Economic Network                                                                
Columbus Metropolitan Housing Authority                                                                
Zanesville Metropolitan Housing Authority                                                                
Portsmouth Metropolitan Housing Authority                                                                
Ironton Metropolitan Housing Authority                                                                
Belmont Metropolitan Housing Authority                                                                
Springfield Metropolitan Housing Authority                                                                
London Metropolitan Housing Authority                                                                
Chillicothe Metropolitan Housing Authority                                                                
Hocking Metropolitan Housing Authority                                                                
Cambridge Metropolitan Housing Authority                                                                
Perry County Metropolitan Housing Authority                                                                
Meigs Metropolitan Housing Authority                                                                
Coshocton Metropolitan Housing Authority                                                                
Jackson County Metropolitan Housing Authority                                                                
Athens Metropolitan Housing Authority                                                                
Licking Metropolitan Housing Authority                                                                
Allen Metropolitan Housing Authority                                                                
Gallia Metropolitan Housing Authority                                                                
Knox Metropolitan Housing Authority                                                                
Fayette Metropolitan Housing Authority                                                                
Monroe Metropolitan Housing Authority                                                                
Pickaway Metropolitan Housing Authority                                                                
Pike Metropolitan Housing Authority                                                                
Shelby Metropolitan Housing Authority                                                                
Morgan Metropolitan Housing Authority                                                                
Noble Metropolitan Housing Authority                                                                
Fairfield Metropolitan Housing Authority                                                                
Logan County Metropolitan Housing Authority                                                                
City of Marietta                                                                
Vinton Metropolitan Housing Authority                                                                
Delaware Metropolitan Housing Authority                                                                
Morrow Metropolitan Housing Authority                                                                
                                                                
Oklahoma City Housing Authority                                                                
Housing Authority of the City of Comanche                                                                
Housing Authority of the City of Idabel                                                                
Lawton Housing Authority                                                                
Broken Bow Housing Authority                                                                
Housing Authority of the City of Heavener                                                                
Housing Authority of the City of Anadarko                                                                
Drumright Housing Authority                                                                
Housing Authority of Prague                                                                
Housing Authority of the City of Picher                                                                
Stigler Housing Authority                                                                
Elk City Housing Authority                                                                
Temple Housing Authority                                                                
Walters Housing Authority                                                                
Snyder Housing Authority                                                                
Coalgate Housing Authority                                                                
Grandfield Housing Authority                                                                
Housing Authority of the City of Oilton                                                                
Watonga Housing Authority                                                                
Housing Authority of the City of Ada                                                                
Housing Authority of the Town of Antlers                                                                
Housing Authority of the Town of Cache                                                                
Miami Housing Authority                                                                
Weleetka Housing Authority                                                                
Wilburton Housing Authority                                                                
Madill Housing Authority                                                                
Wetumka Housing Authority                                                                
Seminole Housing Authority                                                                
Bristow Housing Authority                                                                
Housing Authority of the Town of Apache                                                                
Housing Authority of the Town of Cement                                                                
Housing Authority of the Town of Cyril                                                                
Housing Authority of the Town of Sterling                                                                
Mangum Housing Authority                                                                
Housing Authority of the City of Sayre                                                                
Housing Authority of the Town of Ringling                                                                
Roosevelt Housing Authority                                                                
Hugo Housing Authority                                                                
Hydro Housing Authority                                                                
Holdenville Housing Authority                                                                
Housing Authority of the City of Stroud                                                                
Boley Housing Authority                                                                
Indiahoma Housing Authority                                                                
Guthrie Housing Authority                                                                
Housing Authority of the City of Newkirk                                                                
Geary Housing Authority                                                                
Housing Authority of the City of Pawnee                                                                
Valliant Housing Authority                                                                
McAlester Housing Authority                                                                
Commerce Housing Authority                                                                
Housing Authority of the Town of Seiling                                                                
Wynnewood Housing Authority                                                                
Tishomingo Housing Authority                                                                
Stilwell Housing Authority                                                                
Haileyville Housing Authority                                                                
Housing Authority of the Town of Clayton                                                                
Housing Authority of the Town of Terral                                                                
Housing Authority of the Town of Tuttle                                                                
Hartshorne Housing Authority                                                                
Housing Authority of the City of Tulsa                                                                
Housing Authority of the City of Kingston                                                                
Housing Authority of the City of Krebs                                                                
Housing Authority of the City of Waurika                                                                
Housing Authority of the City of Maud                                                                
Housing Authority of the City of Minco                                                                
Housing Authority of the Town of Ryan                                                                
Housing Authority of the Town of Stratford                                                                
Housing Authority of the Town of Wister                                                                
Housing Authority of the City of Hobart                                                                
Housing Authority of the Town of Granite                                                                
Housing Authority of the City of Shawnee                                                                
Wewoka Housing Authority                                                                
Housing Authority of the Town of Cheyenne                                                                
Muskogee Housing Authority                                                                
Housing Authority of the City of Boswell                                                                
Housing Authority of the City of Waynoka                                                                
Housing Authority of the City of Konawa                                                                
Housing Authority of the City of Langston                                                                
Housing Authority of the Town of Mountain Park                                                                
Housing Authority of the Town of Fort Cobb                                                                
Housing Authority of the Town of Tipton                                                                
Fort Gibson Housing Authority                                                                
Housing Authority of the City of Yale                                                                
Housing Authority of the City of Keota                                                                
Housing Authority of Osage County                                                                
Housing Authority of the City of Atoka                                                                
Housing Authority of the Kiamichi Electric Coop                                                                
Housing Authority of the Town of Cushing                                                                
Housing Authority of the Caddo Electric Cooperativ                                                                
Housing Authority of the Cookson Hills Electric Co                                                                
Housing Authority of the Choctaw Electric Cooperat                                                                
Norman Housing Authority                                                                
Housing Authority of the City of Henryetta                                                                
Stillwater Housing Authority                                                                
Housing Authority of the Town of Lone Wolf                                                                
Housing Authority of the City of Tecumseh                                                                
Housing Authority of the City of Pauls Valley                                                                
Housing Authority of the City of Del City                                                                

                                     
Housing Authority of Clackamas County                                                                
Home Forward                                                                
Housing Authority of Douglas County                                                                
Housing Authority of Lincoln County                                                                
Homes for Good                                                                
Umatilla County Housing Authority                                                                
Housing And Urban Renewal Agency of Polk County                                                                
North Bend City Housing Authority                                                                
Salem Housing Authority                                                                
Marion County Housing Authority                                                                
Housing Authority of Jackson County                                                                
Housing Authority of Yamhill County                                                                
Klamath Housing Authority                                                                
Linn-Benton Housing Authority                                                                
Coos-Curry Housing Authority                                                                
Housing Authority of Washington County                                                                
Mid-Columbia Housing Authority                                                                
Housing Authority of Malheur and Harney Counties                                                                
Northwest Oregon Housing Authority                                                                
Josephine Housing and Community Development Council                                                                
Northeast Oregon Housing Authority                                                                
Housing Works                                                                
Columbia Gorge Housing Authority                                                                
                                                                
Philadelphia Housing Authority                                                                
Scranton Housing Authority                                                                
Allentown Housing Authority                                                                
Chester Housing Authority                                                                
Harrisburg Housing Authority                                                                
Reading Housing Authority                                                                
Bethlehem Housing Authority                                                                
Montgomery County Housing Authority                                                                
Schuylkill County Housing Authority                                                                
Lycoming Housing Authority                                                                
Housing Authority of the City of York                                                                
Delaware County Housing Authority                                                                
Easton Housing Authority                                                                
Housing Authority of Monroe County                                                                
Carbondale Housing Authority                                                                
The Housing Authority of Montour County                                                                
Franklin County Housing Authority                                                                
Housing Authority of the County of Dauphin                                                                
Lancaster City Housing Authority                                                                
Pottsville Housing Authority                                                                
Housing Authority of the County of Lackawanna                                                                
Clinton County Housing Authority                                                                
Mifflin County Housing Authority                                                                
City of Pittston Housing Authority                                                                
The Housing Auth of the City of Nanticoke                                                                
Hazleton Housing Authority                                                                
Housing Authority of the County of Chester                                                                
Wilkes-Barre Housing Authority                                                                
Tioga County Housing Authority                                                                
Bucks County Housing Authority                                                                
Lebanon County Housing Authority                                                                
Sunbury Housing Authority                                                                
City of Shamokin Housing Authority                                                                
Housing Authority of Luzerne County                                                                
Housing Auth of the County of Northumberland                                                                
Bradford County Housing Authority                                                                
Carbon County Housing Authority                                                                
Sullivan County Housing Authority                                                                
Berks County Housing Authority                                                                
The Wyoming County Housing and Redevelopment Authorities                                                                
Susquehanna County Housing and Redevelopment Authority                                                                
Cumberland County Housing Authority                                                                
Northampton County Housing Authority                                                                
Wayne County Housing Authority                                                                
Lehigh County Housing Authority                                                                
Housing Authority of the County of Union                                                                
Columbia County Housing Authority                                                                
Centre County Housing Authority                                                                
Lancaster County Housing Authority                                                                
Adams County Housing Authority                                                                
Snyder County Housing Authority                                                                
1260 Housing Development Corporation                                                                
Housing Authority of the City of Pittsburgh                                                                
McKeesport Housing Authority                                                                
Allegheny County Housing Authority                                                                
Housing Authority of the County of Butler                                                                
Housing Authority of the City of Erie                                                                
Housing Authority of the County of Beaver                                                                
Fayette County Housing Authority                                                                
Washington County Housing Authority                                                                
Westmoreland County Housing Authority                                                                
Johnstown Housing Authority                                                                
Mercer County Housing Authority                                                                
Connellsville Housing Authority                                                                
Housing Authority of the County of Lawrence                                                                
Huntingdon County Housing Authority                                                                
Somerset County Housing Authority                                                                
Altoona Housing Authority                                                                
Housing Authority of the City of Meadville                                                                
Housing Authority of the County of Armstrong                                                                
Housing Authority of Indiana County                                                                
Bradford City Housing Authority                                                                
Housing Authority of the County of Elk                                                                
Housing Authority of the City of Franklin                                                                
Titusville Housing Authority                                                                
Oil City Housing Authority                                                                
Housing Authority of the County of Jefferson                                                                
Clearfield County Housing Authority                                                                
Housing Authority of the City of Corry                                                                
Blair County Housing and Redevelopment Authority                                                                
Fulton County Housing Authority                                                                
County of Potter Housing Authority                                                                
Housing Authority of the County of Warren                                                                
McKean County Redevelopment and Housing Authority                                                                
Housing Authority of the County of Bedford                                                                
Clarion County Housing Authority                                                                
Housing Authority of the County of Erie                                                                
Venango County Housing Authority                                                                
                                                                
Puerto Rico Public Housing Administration                                                                
Municipality of San Juan                                                                
Municipality of Caguas                                                                
Municipality of Ponce                                                                
Municipality of Mayaguez                                                                
Municipality of Moca                                                                
Municipality of Bayamon                                                                
Municipality of Aguadilla                                                                
Municipality of Trujillo Alto                                                                
Municipality of Carolina                                                                
Municipality of Dorado                                                                
Municipality of Guaynabo                                                                
Municipality of Guayama                                                                
Municipality of Cayey                                                                
Municipality of Penuelas                                                                
Municipality of Arecibo                                                                
Municipality of Guayanilla                                                                
Municipality of Toa Baja                                                                
Municipality of Corozal Housing Authority                                                                
Municipality of Morovis                                                                
Municipality of Humacao                                                                
Municipality of San Sebastian                                                                
Municipality of Loiza                                                                
Municipality of Manati                                                                
Municipality of Maricao                                                                
Municipality of San German                                                                
The Municipality of Quebradillas                                                                
Municipality of Vega Baja                                                                
Municipality of Utuado                                                                
Municipality of Comerio                                                                
Municipality of Hormigueros                                                                
Municipality of Fajardo                                                                
Municipality of San Lorenzo                                                                
Municipality of Juana Diaz                                                                
Municipality of Hatillo                                                                
Municipality of Camuy                                                                
Municipality of Gurabo                                                                
Municipality of Coamo                                                                
Anasco Housing Authority                                                                
Municipality of Guanica                                                                
Municipality of Yabucoa                                                                
Municipality of Las Marias                                                                
Municipality of Naguabo                                                                
Municipality of Sabana Grande                                                                
Municipality of Villalba                                                                
Municipality of Rio Grande                                                                
Municipality of Ciales                                                                
Municipality of Toa Alta                                                                
Municipality of Barceloneta                                                                
Municipality of Adjuntas                                                                
Municipality of Vega Alta                                                                
Municipality of Patillas                                                                
Municipality of Santa Isabel                                                                
Municipality of Aibonito                                                                
Municipality of Barranquitas                                                                
Municipality of Cabo Rojo                                                                
Municipality of Las Piedras                                                                
Municipality of Naranjito                                                                
Municipality of Lares                                                                
Municipality of Rincon                                                                
Municipality of Arroyo                                                                
Municipality of Salinas                                                                
Municipality of Ceiba                                                                
Municipality of Lajas                                                                
Municipality of Aguada                                                                
Municipality of Vieques                                                                
Municipality of Canovanas                                                                
Municipality of Jayuya                                                                
Municipality of Juncos                                                                
Municipality of Orocovis                                                                
Municipality of Luquillo                                                                
Municipality of Aguas Buenas                                                                
Municipality of Yauco                                                                
Puerto Rico Department of Housing                                                                
Puerto Rico Housing Finance Authority                                                                
                                                                
Providence Housing Authority                                                                
Pawtucket Housing Authority                                                                
Woonsocket Housing Authority                                                                
Central Falls Housing Authority                                                                
Housing Authority of the City of Newport                                                                
Cranston Housing Authority                                                                
East Providence Housing Authority                                                                
Westerly Housing Authority                                                                
Johnston Housing Authority                                                                
Cumberland Housing Authority                                                                
Warwick Housing Authority                                                                
South Kingstown Housing Authority                                                                
Portsmouth Housing Authority                                                                
Burrillville Housing Authority                                                                
West Warwick Housing Authority                                                                
Coventry Housing Authority                                                                
North Providence Housing Authority                                                                
Lincoln Housing Authority                                                                
Bristol Housing Authority                                                                
Smithfield Housing Authority                                                                
Jamestown Housing Authority                                                                
Warren Housing Authority                                                                
East Greenwich Housing Authority                                                                
Narragansett Housing Authority                                                                
Tiverton Housing Authority                                                                
Kent County Mental Health Center                                                                
Gateway Healthcare Inc.                                                                
Rhode Island Housing                                                                
Neighborhood Foundations                                                                
                                                               
                                                                
Housing Authority of the City of Charleston                                                                
Columbia Housing                                                                
Spartanburg Housing Authority                                                                
Greenville Housing Authority                                                                
Housing Authority of Darlington                                                                
City of Aiken Housing Authority                                                                
South Carolina Regional Housing Authority No. 1                                                                
Laurens City Housing Authority                                                                
Housing Authority of Abbeville                                                                
Housing Authority of Bennettsville                                                                
Housing Authority of Greer                                                                
Gaffney Housing Authority                                                                
Lake City Housing Authority                                                                
Housing Authority of Union                                                                
Chester Housing Authority                                                                
Housing Authority of Marion                                                                
Rock Hill Housing Authority                                                                
Sumter Housing Authority                                                                
South Carolina Regional Housing Authority No. 3                                                                
Housing Authority of Conway                                                                
Beaufort Housing Authority                                                                
Housing Authority of Florence                                                                
Georgetown Housing Authority                                                                
Housing Authority of Hartsville                                                                
Housing Authority of Greenwood                                                                
Housing Authority of Cheraw                                                                
Housing Authority of Lancaster                                                                
Housing Authority of Mullins                                                                
Housing Authority of Myrtle Beach                                                                
Housing Authority of Newberry                                                                
Housing Authority of Fort Mill                                                                
Anderson Housing Authority                                                                
Housing Authority of Kingstree                                                                
Housing Authority of Woodruff                                                                
Housing Authority of York                                                                
Housing Authority of McColl                                                                
Housing Authority of Easley                                                                
Charleston County Housing and Redevelopment Authority                                                                
North Charleston Housing Authority                                                                
Housing and Community Redevelopment Authority of Marlboro County                                                                
Housing Authority of Atlantic Beach                                                                
Cayce Housing Authority                                                                
South Carolina State Housing Finance and Development Authority                                                                
                                                                
Burke Housing And Redevelopment Commission                                                                
Kennebec Housing and Redevelopment Commission                                                                
De Smet Housing and Redevelopment Commission                                                                
Lennox Housing and Redevelopment Commission                                                                
Madison Housing And Redevelopment Commission                                                                
Howard Housing And Redevelopment Commission                                                                
City of Mitchell Housing and Redevolpment Commission                                                                
Sioux Falls Housing and Redevelopment Commission                                                                
Parker Housing and Redevelopment Commission                                                                
Lake Andes Housing And Redevelopment Commission                                                                
Hot Springs Housing And Redevelopment Commission                                                                
Sisseton Housing and Redevelopment Commission                                                                
Wessington Springs Housing And Redevelopment Commission                                                                
Martin Housing and Redevelopment Commission                                                                
Murdo Housing And Redevelopment Commission                                                                
Lake Norden Housing And Redevelopment Commission                                                                
Lemmon Housing and Redevelopment Commission                                                                
Redfield Housing And Redevelopment Commission                                                                
Volga Housing And Redevelopment Commission                                                                
Aberdeen Housing Authority                                                                
Pierre Housing and Redevelopment Commision                                                                
Huron Housing Authority                                                                
Milbank Housing and Redevelopment Commission                                                                
Miller Housing and Redevelopment Commision                                                                
Canton Housing and Redevopment Commission                                                                
Webster Housing And Redevelopment Commision                                                                
Watertown Housing and Redevelopment Commission                                                                
Pennington County Housing and Redevelopment Commission                                                                
Meade County Housing and Redevelopment Commission                                                                
Lawrence County Housing and Redevelopment Commission                                                                
Vermillion Housing And Redevelopment Commission                                                                
Brookings Housing and Redevelopment Commission                                                                
Mobridge Housing and Redevlopment Commission                                                                
Yankton Housing and Redevelopment Commission                                                                
Butte County Housing Authority                                                                
                                                                
Johnson City Housing Authority                                                                
Knoxville Community Development Corporation                                                                
Chattanooga Housing Authority                                                                
Kingsport Housing And Redevelopment Authority                                                                
LaFollette Housing Authority                                                                
Athens Housing Authority                                                                
Sweetwater Housing Authority                                                                
Rockwood Housing Authority                                                                
